time,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,NYC,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2010-12-12,1.05581,10.4359,2.10551,2.01836,3.6598,0.901601,0.659413,4.33125,0.293902,2.37925,6.30401,2.51225,1.49854,1.36502,2.05097,0.964187,0.8626,0.629651,3.37939,1.12005,2.00849,0.341472,0.755685,1.16119,1.41003,8.81573,0.0772798,0.628731,0.317628,3.2371,0.070922,3.20073,2.72335,4.28725,2.68099,3.28095,0.446457,3.40386,1.39498,1.35668,0.468165,0.804237,0.945846,1.37845,2.84097,1.1154,1.75344,1.34553,0.647549,0.661686,1.41603,0.311785
2010-12-19,0.852273,13.0878,3.61163,2.3027,4.62077,0.833503,0.873563,5.76822,0.504267,3.6675,7.27884,2.21704,2.07254,3.20553,3.09033,1.36295,0.968867,1.2874,3.82638,1.30649,2.738,0.59952,0.683919,1.0122,2.34292,10.8166,0.062422,0.944729,0.275672,2.22063,0.243309,4.6438,3.41176,3.46784,3.84844,4.26261,0.598156,4.09441,2.06037,2.00375,0.854701,0.799381,1.51849,2.36079,3.87315,1.10739,2.19585,1.51873,0.387097,0.693594,1.19637,1.63244
2010-12-26,1.13086,11.6592,2.5771,1.51649,4.6895,1.06009,0.853578,6.84746,0.508974,3.19759,6.06827,3.34378,1.45606,2.59815,3.55156,1.7327,1.36456,0.954144,5.63071,1.4601,3.6845,0.644828,0.899631,1.10533,2.68029,9.03389,0.234926,1.58986,0.0,3.82883,0.266046,4.91358,3.87493,3.88664,4.19925,4.39746,0.721306,4.9101,2.29709,2.38516,1.28881,1.17429,1.52446,2.74332,3.40711,1.09006,2.3964,1.81087,2.45902,1.38822,1.41386,1.46377
2011-01-02,0.592593,9.73755,3.36738,1.59667,3.56213,0.919508,0.923191,4.75874,0.783904,2.51095,4.82214,2.44275,0.579065,2.03906,2.99071,1.75182,1.05792,1.27095,4.38839,1.17914,2.27061,0.509198,0.687039,1.37079,2.12687,6.75844,0.0,1.5266,0.264901,3.00619,0.328757,3.95271,2.95452,3.08241,2.87699,3.31107,0.914853,3.02847,1.22262,2.10846,0.588452,1.45963,1.40617,1.69993,3.21248,0.519955,2.48912,1.77179,1.5224,0.801901,1.24516,0.806285
2011-01-09,1.48227,11.944,4.84672,1.71146,3.79325,1.01411,1.04648,4.8618,2.53041,2.65838,4.11148,2.01871,0.459117,2.25623,3.28357,2.40376,1.06197,0.710557,5.7204,1.69167,2.36271,0.471204,0.833662,1.06915,2.35408,5.94459,0.221926,2.53445,0.118133,2.95939,0.231774,4.97268,2.89821,3.31421,3.45107,3.17028,1.17144,5.76184,1.64506,2.3239,0.415937,2.46609,1.7554,2.72602,4.05996,2.5974,2.81105,1.48631,1.21906,0.842289,1.2586,1.06561
2011-01-16,1.66821,13.1063,6.77669,2.38773,4.02689,1.14098,1.18359,3.89466,1.98627,3.37233,3.52076,3.2167,1.00663,3.5809,4.03462,4.38823,1.60295,1.49903,7.82892,1.52558,4.12421,0.75275,1.0462,1.83651,2.2551,6.62632,0.251004,3.98145,0.768808,3.12049,0.422744,5.12435,3.72137,3.78455,3.07852,2.88202,1.63964,10.3386,1.90359,2.72705,0.502842,2.48763,2.36777,3.6452,4.73202,2.13816,3.97236,1.74683,0.721046,1.24703,1.92201,2.36327
2011-01-23,1.40127,14.7376,7.29689,2.33506,4.60501,1.88811,1.07163,3.92447,1.99336,3.41609,4.36671,3.9489,2.19041,3.4288,4.71879,6.90447,2.84569,2.02093,6.63419,1.86385,3.80076,1.03409,1.59031,1.98138,3.66952,6.58129,0.207828,4.89549,1.02814,4.47843,0.413456,5.90291,5.0758,3.83545,3.35509,2.66343,2.40387,14.4065,2.11458,4.04659,0.950899,4.84551,2.6757,5.15049,5.93439,0.895355,4.7423,2.17977,1.81388,2.37759,2.88373,2.898
2011-01-30,3.67868,12.5984,6.48838,2.43798,4.33983,2.52049,1.64619,3.35762,1.99868,3.65284,4.79551,3.73887,2.61337,3.94244,4.9683,6.7716,3.31402,3.20207,10.046,2.37127,4.0101,1.47004,1.73742,2.56631,5.05806,6.80856,0.836972,5.62213,1.22549,6.28019,0.504732,5.5993,5.56121,4.03184,4.04412,2.47319,3.4932,12.8354,1.6229,4.37266,1.40503,7.12673,2.87303,6.39836,6.68052,2.03178,5.34851,2.47765,2.81109,2.98987,3.47316,2.92516
2011-02-06,1.95891,11.5078,8.08052,2.77627,4.88711,2.63779,1.76373,3.47826,2.1037,3.19057,4.87195,4.71753,1.72855,4.56026,4.23328,6.07211,3.19528,3.03882,7.28468,2.33142,3.65262,1.57754,2.27731,2.51155,4.89771,6.14754,0.355114,6.0716,1.5978,3.68098,0.725821,5.86393,4.90175,3.71371,3.89805,2.5069,2.26706,7.32127,2.25032,3.74081,2.31654,6.04218,3.20291,6.27479,8.12867,2.90828,5.12923,2.73263,2.16644,2.93542,3.98661,3.37715
2011-02-13,4.4316,11.9696,8.18854,2.63356,5.07162,2.92775,1.98326,2.7957,2.6928,2.94955,4.71214,5.72271,2.19298,6.01038,4.04362,5.97522,3.72246,2.14109,7.37081,2.65215,3.05647,2.27929,2.29611,3.1493,6.10616,5.96418,0.701262,5.03414,2.25564,4.43182,0.66166,6.11392,6.43468,4.06365,4.03668,2.60075,2.23717,7.16321,2.5634,3.61821,2.72609,4.84745,4.34783,5.97049,8.26519,2.45478,5.14304,3.43809,4.14244,2.81324,5.12116,2.60146
2011-02-20,2.93454,9.67196,6.03429,2.28608,5.17402,2.85625,1.98091,1.64396,2.32987,2.58493,4.05653,5.54855,2.21029,6.26091,3.85922,5.02345,3.39597,2.57244,5.05296,2.45628,2.62542,1.92711,2.71023,2.98699,5.4344,5.0174,1.10193,3.73912,2.68235,8.24176,0.766522,6.69849,5.32783,4.06769,3.74332,2.61527,1.90649,5.65058,1.81037,3.40457,4.95067,3.85022,4.16738,3.57057,6.66045,1.88917,4.35908,2.53743,3.80721,2.76498,5.45299,2.36935
2011-02-27,4.8801,6.80203,6.93537,1.71211,5.00087,2.67784,1.34299,2.02952,2.14613,1.91435,2.82145,5.25433,2.18331,5.59846,3.6953,3.80817,3.08696,1.78363,4.11286,1.93807,2.14094,1.90314,2.1339,3.23099,3.89713,4.25786,1.11654,2.25827,3.01666,6.80219,0.939249,5.74113,4.83437,4.78919,2.72493,2.02996,1.68197,4.77424,1.91172,2.91082,2.48051,2.88657,3.8888,3.15196,4.58565,1.18407,3.47331,2.28095,3.46903,3.19263,4.32385,2.28645
2011-03-06,3.53371,5.82572,2.61015,1.70064,4.69447,2.10423,1.15734,2.30938,1.68552,2.1265,2.36845,5.17388,1.44017,6.48731,3.19015,2.72749,2.50417,0.949242,3.54024,2.04345,1.99212,1.20046,2.18373,2.84067,4.21369,4.01552,0.801165,2.32629,4.21801,5.88957,0.529101,5.05526,3.72878,3.27375,2.7215,1.87236,1.48446,3.57379,2.09194,2.76817,2.27168,2.19114,3.50391,2.14712,3.68025,1.89679,2.8357,2.74522,3.04946,3.12896,2.60933,1.53282
2011-03-13,2.68747,4.04606,3.26913,1.32819,4.4379,1.78431,0.888569,2.99166,0.947763,1.91013,2.15871,4.2368,1.8766,4.38749,3.373,2.05007,1.76917,0.63851,3.35263,1.7797,1.66098,1.0707,1.70829,2.80579,2.54097,3.77297,0.815376,1.47839,2.21662,2.89517,0.541883,4.68859,3.60762,3.08045,3.02193,1.81647,1.28231,3.2034,1.625,2.01834,1.31332,1.43328,2.76452,1.58316,2.84749,1.53116,2.26876,2.12912,3.64271,3.71758,2.589,1.10763
2011-03-20,3.02457,3.43834,2.31362,0.996642,3.29703,1.37731,0.355872,2.89299,0.526316,1.89994,1.76585,1.97368,0.64433,4.3877,2.63603,1.66513,1.55869,0.489316,2.91683,1.51078,1.77878,0.860451,1.31108,2.38585,2.44453,3.04018,0.835189,1.0581,2.26397,1.56352,0.388199,3.41036,2.85169,4.29749,2.3114,1.78756,0.648695,1.86879,1.64474,1.58492,0.897505,0.769995,2.5306,0.632749,3.1125,1.22,1.85296,1.53347,3.06081,1.02041,1.354,0.770102
2011-03-27,2.14376,3.17374,1.66325,1.11316,3.2,0.984413,0.673014,2.37252,0.96858,1.61388,1.64046,2.75953,0.568451,2.83491,2.55181,0.984447,1.13311,0.700844,1.82657,1.5324,1.22569,0.793257,1.08931,2.18437,1.99634,3.35792,0.4662,0.838605,0.846702,1.16105,0.484352,4.60678,2.67527,2.27938,2.02105,1.78081,0.87309,1.21359,1.28979,1.55592,0.906649,0.792051,2.24277,0.76575,2.13536,1.2719,1.81293,1.67224,1.54696,1.29545,1.27412,1.11902
2011-04-03,2.2082,2.74659,0.850906,0.997526,2.64683,0.896684,0.344308,0.195185,0.475119,1.47262,1.52942,2.79948,0.932599,2.86096,2.15318,0.922334,0.892174,0.356102,2.48497,1.39126,1.57288,0.723634,0.834344,2.04599,1.61195,3.13642,0.27933,0.536536,0.721848,0.894234,0.196773,3.39574,2.32261,2.21222,2.22854,1.81267,0.615465,1.56685,1.00822,1.68153,0.701179,0.641026,1.35374,0.703437,1.83216,0.752299,1.51176,1.83993,0.79858,1.00159,0.940983,0.837521
2011-04-10,1.36504,2.67592,0.438757,0.895053,2.57193,0.814396,0.244275,0.068306,0.11534,1.22306,1.33095,1.85053,0.630915,2.93392,1.57063,0.581147,0.616165,0.300405,1.48567,1.28155,1.94079,0.644531,0.558727,1.40235,1.33698,3.1314,0.235018,0.586047,0.794439,1.43939,0.0591017,2.74671,1.72675,2.11339,2.3652,1.51109,0.452128,0.674252,0.965873,1.41556,0.529021,0.500128,0.913621,0.55213,1.67025,0.963515,1.48654,2.00573,0.970497,0.79756,0.704424,0.515717
2011-04-17,1.4123,2.76866,0.675676,1.09028,2.24199,0.764121,0.230614,0.0754148,0.082012,1.15955,1.32493,2.55447,0.442282,1.48645,1.72191,0.474655,0.562141,0.187166,1.5376,1.25237,1.95606,0.563317,0.640349,1.32867,0.99348,2.85882,0.0297885,0.370714,0.399734,1.05422,0.0441501,2.79318,1.87243,3.12605,2.23407,1.53094,0.355802,0.592969,1.07246,0.970285,0.464476,0.509698,1.00823,0.575935,1.66212,0.579542,1.3181,1.43522,1.38714,0.251397,0.719499,0.575576
2011-04-24,0.854271,3.28311,0.455754,0.835587,2.34436,0.909698,0.23084,0.0,0.0457247,1.19421,1.35877,1.77134,0.552995,1.86047,1.52495,0.513118,0.688073,0.183804,1.90088,0.991172,1.05199,0.46474,0.49864,1.01429,0.711214,2.72215,0.0,0.275451,0.210416,0.513834,0.161253,2.76842,1.75745,1.55288,1.35642,1.20351,0.375144,0.293686,0.959752,0.976213,0.71474,0.248098,0.880395,0.385999,1.4454,0.257927,1.05721,1.32743,0.649087,0.440529,0.635055,0.347136
2011-05-01,0.798122,3.00455,0.630347,0.772679,2.14632,0.759519,0.119296,0.0,0.0863309,1.14989,1.30999,0.603774,0.242131,1.58513,1.34804,0.443973,0.4769,0.554486,1.50696,0.912764,1.13264,0.49682,0.556691,0.588957,0.603942,2.32148,0.0,0.320739,0.246305,0.421546,0.0752257,2.01081,1.65705,2.51242,1.66576,1.1382,0.6618,0.310421,0.924745,1.03274,0.390747,0.230061,0.602007,0.108425,1.62718,0.31746,1.07273,1.514,0.720721,0.42125,0.414612,0.252434
2011-05-08,0.359712,2.64628,0.711744,0.686106,2.05279,0.604343,0.128425,0.0,0.0455996,0.897643,1.45429,1.41176,0.167411,1.45138,1.59068,0.683028,0.424309,0.133925,0.747833,0.750159,1.01451,0.508233,0.584429,0.582165,0.901051,2.40229,0.0,0.405581,0.0683527,0.283286,0.0706048,2.22222,1.75462,2.4206,1.72106,1.19437,0.387558,0.387973,0.929924,0.996843,0.0499002,0.0586625,0.627521,0.0807475,1.7883,0.333333,1.06423,1.96672,0.580781,0.227661,0.387755,0.692308
2011-05-15,0.306279,2.46441,0.520382,0.569434,2.13285,0.627459,0.0940291,2.1322,0.107643,0.976909,1.57802,1.40741,0.169683,1.8346,1.19695,0.520077,0.638298,0.126823,1.0801,0.812329,0.850209,0.370028,0.840106,0.756474,0.717913,2.18672,0.0,0.313559,0.342759,0.395062,0.0680735,2.69103,1.55547,0.789052,0.703443,1.1343,0.485879,0.215703,1.07901,1.0065,0.019992,0.130208,0.522938,0.0551876,1.43878,0.364577,1.1395,1.4565,0.498132,0.524292,0.335802,0.424809
2011-05-22,0.716846,2.72831,1.03627,0.555511,2.10667,0.59322,0.0626566,2.08451,0.0,0.81458,1.24069,1.86625,0.115741,1.55424,1.23846,0.458475,0.667022,0.0486204,1.1524,0.954948,1.2498,0.519802,0.527108,0.59795,0.804039,2.27182,0.0,0.622249,0.0,0.185071,0.03125,2.94975,1.61633,0.67815,1.56349,1.2915,0.285442,0.229226,0.645819,0.862225,0.0237699,0.260465,0.518623,0.0248201,1.18284,0.273444,0.999368,1.1976,0.18018,0.41021,0.40349,0.166875
2011-05-29,0.366492,2.54511,0.939306,0.550731,2.5765,0.55124,0.174672,2.37671,0.0,1.03862,1.32078,1.13754,0.0674764,2.35294,1.68385,0.721805,0.517148,0.323466,0.851813,0.914855,0.889371,0.643537,0.542265,0.524738,0.0808407,2.40786,0.0,0.607571,0.162075,0.183374,0.0448229,2.52839,1.56185,0.731602,1.77814,1.17933,0.486244,0.047824,0.814053,1.004,0.030012,0.132567,0.507343,0.0283006,1.47219,0.207684,1.01137,1.12641,0.297177,0.421496,0.411061,0.182232
2011-06-05,0.601751,2.38925,0.686642,0.468237,2.26424,0.433862,0.070922,2.39674,0.0,1.02144,0.965748,1.2334,0.0,1.70604,1.2613,0.432961,0.465477,0.042793,0.968153,0.875651,1.41586,0.442369,0.53505,0.523722,0.103448,2.13416,0.0,0.533668,0.0,0.330251,0.0,2.77982,1.39423,1.03003,0.14752,1.23374,0.210239,0.195886,0.575595,1.02332,0.0243368,0.21322,0.418994,0.0731172,1.0381,0.313112,0.964833,1.06724,0.332226,0.121729,0.367069,0.20284
2011-06-12,0.552486,2.51859,0.926999,0.392619,1.84762,0.372321,0.0,2.72306,0.0,0.691602,0.817922,0.756534,0.0,1.49102,1.10723,0.441631,0.152905,0.0802837,1.14943,0.940344,1.78476,0.403035,0.55197,0.436554,0.03885,1.88371,0.0,0.605469,0.0,0.0875657,0.0,3.07871,1.51659,0.882801,0.0909091,1.20635,0.0583771,0.297619,1.07849,0.697869,0.0242483,0.167584,0.541942,0.0276167,1.20398,0.27362,0.911056,0.586166,0.268097,0.111359,0.470527,0.326087
2011-06-19,0.764192,1.79372,0.393185,0.409738,1.73298,0.310244,0.0,1.94529,0.0,0.909906,0.667853,1.1612,0.0,1.60446,1.06486,0.310973,0.38835,0.0732064,0.973157,0.814392,1.20923,0.365764,0.482464,0.811416,0.315831,1.8323,0.0,0.637996,0.0,0.168067,0.0367107,2.93454,0.875827,0.754663,0.134901,1.02117,0.0741198,0.0,1.29577,0.810081,0.0243132,0.119104,0.393604,0.0375141,1.09499,0.204012,0.82836,1.18765,0.0,0.395604,0.186111,0.279799
2011-06-26,0.559284,2.36038,0.4329,0.385402,1.67684,0.250892,0.0,2.40416,0.0,0.975002,0.607222,1.57618,0.0,1.25705,1.24786,0.517443,0.107267,0.211351,1.04512,0.74462,1.21014,0.466029,0.616509,0.334753,0.109131,1.63593,0.0,0.654332,0.0766871,0.0656599,0.041876,0.885138,0.856766,0.644963,0.13616,1.04582,0.277497,0.175336,0.780814,0.624086,0.0288517,0.221511,0.310188,0.0131216,1.44139,0.408598,0.817877,0.645919,0.0,0.427148,0.222338,0.102934
2011-07-03,0.500835,1.84216,0.260417,0.469806,1.68774,0.422777,0.0,1.82186,0.0,1.15077,0.744043,2.35097,0.0794281,0.899594,1.5216,0.44712,0.109111,0.0508337,0.739982,0.771683,2.39544,0.873485,0.580739,0.936262,0.162668,1.7163,0.0,0.677613,0.0,0.123609,0.0,0.278035,1.1833,0.388814,0.0538358,0.99031,0.294551,0.172414,0.648088,0.821396,0.0639182,0.265565,0.55142,0.0176149,1.09916,0.481314,0.723917,0.759975,0.0,0.291886,0.337781,0.170455
2011-07-10,0.668896,1.88256,0.260417,0.449364,1.60432,0.30888,0.0,3.40909,0.0,0.901783,0.598637,1.63205,0.0,0.645161,0.822823,0.235651,0.0996016,0.0309483,0.91623,0.75144,1.28183,0.59657,0.431365,0.358423,0.109569,1.64122,0.0,0.422692,0.0,0.0517063,0.0,0.226693,0.944753,0.500303,0.0580608,0.851914,0.0705384,0.106157,0.557414,0.538529,0.0,0.113604,0.501672,0.0123153,1.11008,0.0862515,0.629352,0.711322,0.0,0.29301,0.184623,0.251256
2011-07-17,0.31746,1.3618,0.0,0.36858,1.45437,0.406306,0.0,1.97669,0.0,0.891478,0.513128,1.12755,0.0,0.925658,1.14027,0.298039,0.40311,0.187023,1.22133,0.742563,1.20808,0.604011,0.385826,0.468604,0.0745156,1.83892,0.0,0.317383,0.0,0.148478,0.0329381,0.107411,1.21225,0.45427,0.145591,0.739156,0.0965018,0.102934,0.312663,0.599161,0.0530504,0.102643,0.459418,0.0131406,0.794791,0.318544,0.625742,0.8329,0.0,0.157563,0.0858369,0.188679
2011-07-24,0.410678,1.3122,0.127065,0.328126,1.35141,0.368984,0.0,2.01149,0.0,0.744327,0.629303,1.51976,0.0,0.657462,1.18249,0.280987,0.344149,0.0130993,1.13324,0.708665,2.37726,0.450024,0.299341,0.16116,0.0380807,1.51907,0.0,0.37921,0.0,0.264375,0.0,0.282486,0.942211,0.516717,0.137255,0.77875,0.0353607,0.101317,0.542005,0.527498,0.0,0.376344,0.571837,0.0,0.927915,0.208171,0.673763,1.0981,0.0,0.262329,0.128995,0.121212
2011-07-31,0.369393,0.340219,0.0,0.418026,0.553292,0.479629,0.0,1.98068,0.0,0.752759,0.690295,0.143062,0.0919118,0.387366,1.39115,0.212379,0.192555,0.227768,0.872698,0.651452,1.723,0.36036,0.564738,0.562676,0.122599,1.46256,0.0,0.262342,0.140174,0.0746269,0.0308071,0.376921,0.958525,0.558824,0.17105,0.767207,0.162115,0.0507099,0.448934,0.519427,0.0262261,0.178518,0.528973,0.0244828,0.947032,0.085034,0.560293,1.01083,0.0,0.0478011,0.0747384,0.095057
2011-08-07,0.488865,1.79206,0.753012,0.307596,1.35688,0.351199,0.0,1.97224,0.0,0.851277,0.807668,0.468933,0.0840336,0.697604,1.01159,0.192864,0.208932,0.0,1.08269,0.679427,1.02555,0.417478,0.433866,0.362538,0.0385802,1.61967,0.0,0.275344,0.180738,0.134953,0.0,0.725295,0.948947,0.431034,0.125418,0.79368,0.172138,0.0,0.484131,0.628995,0.0,0.140174,0.430725,0.0232019,0.820541,0.261097,0.588899,0.996016,0.0,0.231267,0.118501,0.121457
2011-08-14,0.322754,2.1645,0.380228,0.436195,1.1637,0.392137,0.135962,2.39398,0.0,1.13016,0.911454,0.736842,0.0,0.71964,1.14914,0.240215,0.0457352,0.013289,1.12234,0.607253,0.927578,0.481155,0.430946,0.950119,0.0346861,1.95423,0.0,0.531915,0.197336,0.369822,0.0314465,0.374208,1.15533,0.447524,0.131926,0.796782,0.0472701,0.30722,0.383693,0.575717,0.0,0.0896057,0.334821,0.0623377,0.965857,0.218775,0.677421,1.81818,0.0,0.111919,0.18372,0.230203
2011-08-21,0.165107,2.3037,0.576369,0.586,1.34833,0.40142,0.0541712,2.99927,0.0,0.730752,1.19306,0.97032,0.0540541,0.418911,1.21631,0.337634,0.263852,0.0193361,1.44716,0.601852,1.46699,0.471175,0.493612,0.56164,0.0318167,2.57653,0.0,0.293794,0.282021,0.191083,0.0,0.288517,1.18256,0.498753,0.0888099,0.85468,0.10066,0.326397,0.359343,0.47421,0.0,0.0569909,0.471592,0.069993,1.01165,0.273491,0.774693,1.49254,0.0791766,0.319149,0.429693,0.154381
2011-08-28,0.913978,2.34438,0.663507,0.67383,1.47857,0.615878,0.0,2.41935,0.0,1.06343,1.1908,0.643317,0.212202,1.23423,1.3125,0.327392,0.419132,0.0494153,1.36734,0.620629,1.20512,0.60551,0.696587,0.761773,0.141603,2.05144,0.0,0.43691,0.245317,0.31348,0.032,0.262536,1.89318,0.358262,0.157159,0.794999,0.0569801,0.285225,0.484914,0.530273,0.101112,0.07357,0.550297,0.141898,1.43408,0.345599,0.723238,1.45202,0.0,0.287356,0.38625,0.263736
2011-09-04,0.864865,3.44828,0.914286,0.431582,1.60215,0.642398,0.0,4.17007,0.0,1.07753,1.49351,0.887574,0.331565,1.29168,1.41258,0.464989,0.869133,0.0483994,1.70683,0.578256,1.13186,0.602601,0.679423,0.646478,0.247219,2.48053,0.0,0.389788,0.327941,0.932994,0.0,0.3003,1.5885,0.558735,0.152759,0.797847,0.125278,0.40783,0.561167,0.614539,0.0875465,0.0830392,0.644681,0.179662,1.72981,0.324374,0.800381,2.0202,0.0934579,0.215332,0.347267,0.420561
2011-09-11,0.98242,3.55951,1.09671,0.498943,1.74891,0.644817,0.0477327,4.24528,0.0,1.56143,1.3952,1.28552,0.696056,0.657895,1.33621,0.382742,0.981461,0.0455937,1.98413,0.637241,1.08325,0.402414,0.542495,1.0107,0.254813,2.35249,0.0,0.562852,0.424628,3.05206,0.0297885,0.318979,1.66233,0.608026,0.127805,0.881381,0.21846,0.865426,1.05332,0.815472,0.0691324,0.146924,0.540662,0.28157,1.65811,0.310238,0.916186,2.17391,0.078064,0.211034,0.624311,0.386399
2011-09-18,1.22699,3.38738,0.827206,0.457754,1.75994,0.727571,0.0,5.13532,0.0,1.08314,1.30154,0.815217,0.284206,0.857679,1.93042,0.654159,0.590909,0.0278257,3.1651,0.667404,2.0957,0.423392,0.440233,1.0989,0.270433,2.43185,0.0530223,0.52098,0.593692,1.09546,0.08726,0.458891,1.44248,0.541932,0.282595,0.837761,0.103135,0.316313,1.14144,0.978735,0.10915,0.179921,0.462749,0.3606,1.60235,0.765543,1.08084,1.10926,0.22409,0.519781,0.879205,0.713719
