time_value,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-07-19,0,20,0,1,0,0,246,0
2020-07-20,0,11,0,0,0,1,347,0
2020-07-21,0,15,0,1,0,0,450,0
2020-07-22,0,19,0,1,2,0,386,0
2020-07-23,0,7,0,2,1,0,280,3
2020-07-24,0,14,0,0,0,0,339,2
2020-07-25,0,14,0,0,0,0,437,2
2020-07-26,0,17,0,0,0,0,515,0
2020-07-27,0,14,0,0,0,0,353,1
2020-07-28,0,19,0,2,1,0,255,2
2020-07-29,0,18,0,4,0,0,694,0
2020-07-30,0,20,0,1,1,0,579,4
2020-07-31,0,17,2,1,2,0,354,1
2020-08-01,0,11,0,1,2,0,626,0
2020-08-02,0,13,0,0,2,0,380,28
2020-08-03,0,12,0,0,2,0,398,0
2020-08-04,0,11,0,3,0,0,700,1
2020-08-05,0,12,0,0,0,0,434,0
2020-08-06,0,10,0,0,3,0,398,0
2020-08-07,0,9,0,1,0,0,416,0
2020-08-08,0,10,0,0,0,0,376,0
2020-08-09,0,14,0,1,0,0,298,0
2020-08-10,0,22,0,0,0,0,294,0
2020-08-11,0,18,0,0,0,1,395,0
2020-08-12,0,12,0,0,0,0,217,2
2020-08-13,0,9,0,2,1,0,371,1
2020-08-14,0,9,0,0,0,0,283,1
2020-08-15,0,5,0,0,0,0,247,0
2020-08-16,0,7,0,0,1,0,263,0
2020-08-17,0,2,0,0,1,0,211,1
2020-08-18,0,7,0,1,0,0,208,0
2020-08-19,0,5,0,1,0,0,237,4
2020-08-20,0,1,0,1,0,0,169,0
2020-08-21,0,9,0,9,0,0,177,0
2020-08-22,0,4,0,2,0,0,202,1
2020-08-23,0,3,0,1,1,0,99,0
2020-08-24,0,3,0,0,0,0,134,1
2020-08-25,0,6,0,1,0,0,144,0
2020-08-26,0,9,0,3,0,0,106,0
2020-08-27,0,13,0,3,0,0,108,2
2020-08-28,0,14,0,4,0,0,81,0
2020-08-29,0,7,0,4,0,0,112,0
2020-08-30,0,10,0,1,0,0,65,0
2020-08-31,0,13,0,2,0,0,58,0
2020-09-01,0,16,0,2,0,0,86,0
2020-09-02,0,12,0,2,0,0,112,0
2020-09-03,0,8,0,0,0,0,79,0
2020-09-04,0,5,0,1,0,1,64,0
2020-09-05,0,10,0,2,1,0,59,0
2020-09-06,0,4,0,2,0,0,36,1
2020-09-07,0,8,0,1,0,0,41,2
2020-09-08,0,9,0,9,1,0,73,0
2020-09-09,0,7,0,0,0,0,51,1
2020-09-10,0,10,0,2,0,0,28,0
2020-09-11,0,5,0,4,1,0,33,0
2020-09-12,0,9,0,0,0,0,35,0
2020-09-13,0,4,0,0,0,0,37,0
2020-09-14,0,7,0,1,0,0,39,0
2020-09-15,0,8,0,0,0,0,32,0
2020-09-16,0,5,0,1,0,0,27,2
2020-09-17,0,6,0,0,0,0,42,0
2020-09-18,0,2,0,0,0,0,22,0
2020-09-19,0,2,0,2,0,0,8,1
2020-09-20,0,4,0,1,0,0,9,0
2020-09-21,0,2,0,0,0,0,25,3
2020-09-22,0,6,0,0,0,0,24,0
2020-09-23,0,1,0,0,2,0,5,0
2020-09-24,0,4,0,0,0,0,13,3
2020-09-25,0,1,0,3,0,0,12,0
2020-09-26,0,0,0,1,0,0,15,8
2020-09-27,0,0,0,0,0,0,4,0
2020-09-28,0,2,0,0,0,0,9,0
2020-09-29,0,4,0,0,0,0,11,8
2020-09-30,0,3,0,0,0,0,14,1
2020-10-01,0,4,0,3,0,0,6,0
2020-10-02,0,1,0,0,2,0,8,1
2020-10-03,0,2,0,0,0,0,12,0
2020-10-04,0,1,0,0,1,0,11,0
2020-10-05,0,11,0,0,0,0,13,1
2020-10-06,0,3,0,0,1,0,4,0
2020-10-07,0,12,0,0,0,0,10,3
2020-10-08,0,10,0,0,0,0,10,0
2020-10-09,0,2,0,1,1,0,12,2
2020-10-10,0,5,0,0,0,0,12,2
2020-10-11,0,6,0,0,2,0,14,0
2020-10-12,0,11,0,0,0,0,12,2
2020-10-13,0,15,0,0,1,0,4,7
2020-10-14,0,11,0,1,3,0,4,1
2020-10-15,0,5,0,2,0,0,2,5
2020-10-16,0,7,0,0,0,0,0,0
2020-10-17,0,5,0,0,3,0,2,2
2020-10-18,0,4,0,0,2,0,0,3
2020-10-19,0,5,0,0,0,0,1,0
2020-10-20,0,10,0,1,0,0,3,24
2020-10-21,1,6,0,0,1,0,6,1
2020-10-22,0,7,0,2,0,0,1,8
2020-10-23,0,5,0,0,2,0,6,6
2020-10-24,0,7,0,0,0,0,7,4
2020-10-25,0,4,0,0,4,0,0,5
2020-10-26,0,12,0,0,3,0,0,0
2020-10-27,0,8,0,2,0,0,1,3
2020-10-28,0,5,4,0,1,0,2,0
2020-10-29,0,6,0,3,1,0,3,1
2020-10-30,0,4,1,0,1,0,0,1
2020-10-31,0,4,0,1,4,0,0,2
2020-11-01,0,7,0,0,0,0,0,0
2020-11-02,0,3,0,3,2,0,0,1
2020-11-03,0,8,0,2,1,0,0,1
2020-11-04,0,2,1,0,5,0,0,0
2020-11-05,0,9,0,0,1,0,0,4
2020-11-06,0,5,0,0,2,0,0,1
2020-11-07,0,3,0,0,3,0,0,0
2020-11-08,0,7,0,0,0,0,0,0
2020-11-09,0,0,1,1,2,0,0,0
2020-11-10,0,0,1,1,0,0,0,0
2020-11-11,0,0,1,3,0,0,0,0
2020-11-12,0,0,0,1,0,0,0,0
2020-11-13,0,0,4,2,0,0,0,0
2020-11-14,0,17,0,0,5,0,0,7
2020-11-15,0,12,0,0,22,0,0,4
2020-11-16,0,4,0,1,3,0,0,1
2020-11-17,1,7,0,1,4,0,0,6
2020-11-18,0,5,0,3,0,0,0,0
2020-11-19,0,3,0,0,2,0,0,2
2020-11-20,0,10,0,2,1,0,0,1
2020-11-21,0,11,0,1,1,0,0,2
2020-11-22,0,4,0,3,1,0,0,5
2020-11-23,0,6,1,1,1,0,0,0
2020-11-24,0,4,1,0,1,0,0,4
2020-11-25,0,0,1,0,2,0,0,9
2020-11-26,1,4,3,1,0,0,0,0
2020-11-27,1,8,0,1,3,0,0,0
2020-11-28,0,4,0,2,0,0,0,1
2020-11-29,0,9,0,0,1,0,0,0
2020-11-30,0,5,1,1,0,0,0,3
2020-12-01,0,6,0,3,0,0,0,2
2020-12-02,0,9,6,1,0,0,0,0
2020-12-03,0,6,0,2,0,0,0,2
2020-12-04,0,2,0,2,0,0,0,3
2020-12-05,0,5,0,2,0,0,0,2
2020-12-06,0,4,0,3,0,0,0,0
2020-12-07,0,6,2,6,0,0,0,1
2020-12-08,0,2,0,0,0,3,0,1
2020-12-09,0,2,0,4,0,1,0,0
2020-12-10,0,9,1,0,0,0,0,2
2020-12-11,0,6,0,2,0,0,5,1
2020-12-12,0,3,0,0,0,0,1,1
2020-12-13,0,3,1,1,1,0,1,0
2020-12-14,0,5,3,1,0,0,0,2
2020-12-15,0,7,0,1,0,0,0,4
2020-12-16,0,9,2,1,0,0,0,1
2020-12-17,0,16,0,3,0,0,1,1
2020-12-18,0,30,1,0,0,0,2,1
2020-12-19,0,36,2,2,0,0,2,0
2020-12-20,1,23,0,1,3,0,1,1
2020-12-21,0,18,0,0,0,0,3,0
2020-12-22,0,16,0,1,0,0,1,0
2020-12-23,0,18,2,2,2,0,0,1
2020-12-24,0,9,0,2,0,0,0,1
2020-12-25,0,15,0,1,1,0,0,6
2020-12-26,0,11,0,0,0,0,1,0
2020-12-27,0,14,0,5,3,0,2,5
2020-12-28,0,9,1,2,0,0,0,0
2020-12-29,0,25,0,2,3,0,1,1
2020-12-30,0,17,0,3,1,0,3,0
2020-12-31,0,5,1,0,4,0,8,2
2021-01-01,0,19,0,2,0,0,12,2
2021-01-02,0,11,6,0,0,0,3,4
2021-01-03,0,7,0,5,3,0,4,1
2021-01-04,0,8,0,2,0,0,4,1
2021-01-05,0,5,6,1,1,0,3,3
2021-01-06,0,6,0,2,0,0,0,2
2021-01-07,0,11,1,9,3,0,1,0
2021-01-08,0,6,2,0,2,0,1,0
2021-01-09,0,6,0,0,0,0,6,1
2021-01-10,0,11,0,4,1,0,1,2
2021-01-11,0,16,0,3,0,0,0,1
2021-01-12,0,7,1,2,2,0,3,1
2021-01-13,0,2,2,4,0,0,0,2
2021-01-14,0,2,0,3,1,0,0,3
2021-01-15,0,12,0,1,2,0,3,2
2021-01-16,0,9,0,2,0,0,7,1
2021-01-17,0,8,0,1,0,0,4,0
2021-01-18,0,2,0,3,0,0,4,1
2021-01-19,0,3,2,2,1,0,1,0
2021-01-20,0,5,1,1,2,0,0,0
2021-01-21,0,0,1,3,0,0,1,2
2021-01-22,0,1,1,0,0,0,3,0
2021-01-23,0,3,0,0,0,0,0,4
2021-01-24,0,3,0,2,0,0,6,0
2021-01-25,0,1,0,0,0,0,1,1
2021-01-26,0,2,0,1,0,0,1,2
2021-01-27,0,3,0,1,0,0,3,1
2021-01-28,0,3,0,1,0,0,1,0
2021-01-29,0,2,0,1,0,0,0,4
2021-01-30,0,3,0,0,1,0,0,1
2021-01-31,0,6,0,1,0,0,1,0
2021-02-01,0,2,0,1,1,0,1,0
2021-02-02,0,2,0,0,4,0,0,1
2021-02-03,0,3,1,0,0,0,3,2
2021-02-04,0,0,0,0,1,0,4,1
2021-02-05,0,2,2,2,0,0,0,0
2021-02-06,0,1,1,1,0,0,0,0
2021-02-07,0,3,0,2,1,0,0,0
2021-02-08,0,2,0,1,0,0,0,0
2021-02-09,0,4,0,1,2,0,2,2
2021-02-10,0,3,0,1,1,0,2,1
2021-02-11,0,2,0,1,0,0,5,0
2021-02-12,0,2,0,2,0,0,1,0
2021-02-13,0,2,1,0,0,0,3,0
2021-02-14,0,0,0,0,0,0,2,0
2021-02-15,0,1,0,0,0,0,4,0
2021-02-16,0,4,0,0,2,0,0,0
2021-02-17,0,0,0,0,0,0,1,0
2021-02-18,0,2,0,1,0,0,3,0
2021-02-19,0,1,1,0,0,0,0,0
2021-02-20,0,3,0,0,2,0,0,1
2021-02-21,0,1,0,2,0,0,0,1
2021-02-22,0,4,0,0,2,0,0,1
2021-02-23,0,1,0,0,1,0,0,0
2021-02-24,0,7,0,1,0,0,0,0
2021-02-25,0,4,0,4,0,0,2,0
2021-02-26,0,6,1,1,0,0,0,0
2021-02-27,0,5,0,0,0,0,0,0
2021-02-28,0,3,0,2,3,0,0,0
2021-03-01,0,3,0,4,1,0,0,0
2021-03-02,2,6,0,0,1,0,0,1
2021-03-03,0,4,0,7,0,0,0,0
2021-03-04,0,12,0,2,0,0,0,0
2021-03-05,0,2,0,3,0,0,1,2
2021-03-06,2,2,0,2,0,0,0,0
2021-03-07,0,1,0,7,0,0,1,3
2021-03-08,0,5,0,6,2,0,1,1
2021-03-09,1,5,0,5,1,0,0,1
2021-03-10,0,6,0,6,3,0,0,1
2021-03-11,0,8,0,2,2,0,0,0
2021-03-12,0,0,0,4,5,0,0,1
2021-03-13,0,3,0,1,0,0,0,1
2021-03-14,0,3,0,6,3,0,0,1
2021-03-15,0,2,0,2,2,0,0,1
2021-03-16,0,7,1,6,2,0,0,1
2021-03-17,0,2,0,8,2,0,0,0
2021-03-18,0,5,0,9,1,0,0,2
2021-03-19,0,3,0,4,1,0,0,1
2021-03-20,0,2,0,2,0,0,0,0
2021-03-21,0,5,0,4,0,0,0,1
2021-03-22,0,4,0,1,0,0,0,0
2021-03-23,0,3,0,4,2,0,0,1
2021-03-24,0,4,0,3,0,0,0,2
2021-03-25,0,1,0,7,1,0,0,0
2021-03-26,0,3,0,7,3,0,0,0
2021-03-27,0,0,1,3,2,0,0,1
2021-03-28,0,2,1,10,0,0,1,3
2021-03-29,0,5,0,10,5,0,0,0
2021-03-30,0,3,0,1,0,0,0,4
2021-03-31,0,5,0,10,1,0,0,2
2021-04-01,0,0,1,8,2,0,0,0
2021-04-02,0,3,2,3,0,0,0,0
2021-04-03,0,1,1,1,1,0,0,3
2021-04-04,0,3,0,3,2,0,0,1
2021-04-05,0,7,0,0,0,0,0,2
2021-04-06,0,6,0,6,1,0,0,1
2021-04-07,0,2,0,3,1,0,0,0
2021-04-08,0,2,0,1,2,0,0,0
2021-04-09,0,4,0,1,0,0,1,0
2021-04-10,0,6,0,0,1,0,0,2
2021-04-11,0,9,0,2,0,0,2,1
2021-04-12,0,5,0,2,0,0,0,3
2021-04-13,0,3,0,2,9,0,0,7
2021-04-14,0,9,1,1,2,0,5,1
2021-04-15,0,7,0,6,1,0,0,1
2021-04-16,0,7,0,1,4,0,2,1
2021-04-17,0,6,6,2,0,0,0,6
2021-04-18,0,8,0,0,0,0,4,2
2021-04-19,0,3,10,0,6,0,1,3
2021-04-20,0,8,3,1,3,0,3,2
2021-04-21,0,7,4,1,2,0,2,2
2021-04-22,0,16,13,4,9,0,2,0
2021-04-23,0,1,10,1,1,0,2,0
2021-04-24,0,1,1,4,1,0,1,2
2021-04-25,0,8,4,2,1,0,0,2
2021-04-26,0,12,0,3,14,0,4,4
2021-04-27,0,9,1,16,1,0,2,4
2021-04-28,0,15,0,4,0,0,1,4
2021-04-29,1,13,1,5,3,0,2,0
2021-04-30,0,4,0,2,2,0,3,2
2021-05-01,0,3,0,3,1,0,1,5
2021-05-02,0,5,0,3,2,0,1,3
2021-05-03,0,7,0,1,3,0,1,0
2021-05-04,0,10,0,0,3,0,0,2
2021-05-05,0,10,1,3,0,0,2,3
2021-05-06,0,5,0,2,2,0,0,0
2021-05-07,0,6,0,3,3,0,1,0
2021-05-08,0,6,0,4,0,0,6,0
2021-05-09,0,5,0,0,2,0,2,0
2021-05-10,0,4,0,0,0,0,1,2
2021-05-11,0,4,0,3,0,0,1,0
2021-05-12,0,5,0,2,1,0,1,0
2021-05-13,0,1,0,0,0,0,1,0
2021-05-14,0,3,2,1,0,0,1,0
2021-05-15,0,3,0,3,1,0,4,0
2021-05-16,0,2,0,0,0,0,1,0
2021-05-17,0,3,0,2,0,0,0,0
2021-05-18,0,2,1,1,4,0,1,0
2021-05-19,0,2,0,0,0,0,0,1
2021-05-20,0,0,0,3,1,0,0,0
2021-05-21,0,1,0,2,1,0,0,0
2021-05-22,0,2,1,0,0,0,1,0
2021-05-23,0,2,0,8,0,0,2,0
2021-05-24,0,2,0,2,1,0,4,1
2021-05-25,0,2,0,4,1,0,10,0
2021-05-26,0,0,1,2,2,0,12,0
2021-05-27,0,3,0,2,0,0,6,0
2021-05-28,0,1,1,1,0,0,6,0
2021-05-29,0,5,0,2,0,0,6,0
2021-05-30,0,2,0,0,2,0,5,0
2021-05-31,0,0,0,0,0,0,11,2
2021-06-01,0,1,0,1,0,0,5,0
2021-06-02,0,2,0,2,6,0,3,0
2021-06-03,0,0,0,0,0,0,4,0
2021-06-04,0,0,0,9,1,0,6,0
2021-06-05,0,5,0,2,1,0,8,0
2021-06-06,0,5,0,0,2,0,11,0
2021-06-07,0,5,1,1,3,0,3,1
2021-06-08,0,2,0,1,2,0,1,0
2021-06-09,0,3,0,8,0,0,4,0
2021-06-10,0,1,0,0,1,0,1,0
2021-06-11,0,1,0,0,1,0,4,0
2021-06-12,0,1,1,8,3,0,1,0
2021-06-13,0,6,0,2,1,0,5,0
2021-06-14,0,4,0,3,0,0,3,1
2021-06-15,0,3,0,0,1,0,8,1
2021-06-16,0,3,0,6,4,0,2,0
2021-06-17,0,2,0,3,1,0,2,0
2021-06-18,0,6,1,0,3,0,3,0
2021-06-19,0,5,0,1,1,0,2,0
2021-06-20,0,7,0,5,3,0,9,0
2021-06-21,0,6,0,3,0,0,2,0
2021-06-22,0,11,1,1,0,0,1,0
2021-06-23,0,18,0,4,0,0,2,0
2021-06-24,0,11,0,1,4,0,3,1
2021-06-25,0,30,1,1,0,0,4,0
2021-06-26,0,31,3,3,2,0,2,1
2021-06-27,0,22,0,3,3,0,0,1
2021-06-28,0,20,3,4,2,0,2,1
2021-06-29,0,28,0,6,5,0,2,1
2021-06-30,0,28,1,4,6,0,0,2
2021-07-01,0,32,0,5,0,0,3,1
2021-07-02,0,40,0,9,2,0,0,1
2021-07-03,0,16,0,1,1,0,1,0
2021-07-04,0,37,0,8,3,0,2,1
2021-07-05,0,18,0,5,0,0,2,2
2021-07-06,0,28,0,1,0,0,0,1
2021-07-07,0,39,0,3,0,0,0,0
2021-07-08,0,45,1,0,1,0,1,0
2021-07-09,0,52,2,5,2,0,3,0
2021-07-10,0,82,0,1,2,0,0,0
2021-07-11,0,116,0,1,1,0,0,3
2021-07-12,0,93,1,3,2,0,3,0
2021-07-13,0,99,0,5,0,0,2,0
2021-07-14,0,67,0,5,2,0,10,0
2021-07-15,0,98,1,1,2,0,11,0
2021-07-16,0,117,1,1,6,0,19,1
2021-07-17,0,109,0,1,0,0,18,0
2021-07-18,0,100,0,2,1,0,14,0
2021-07-19,0,79,0,4,6,0,14,1
2021-07-20,0,112,0,0,2,0,24,8
2021-07-21,0,124,0,0,6,0,28,2
2021-07-22,0,135,0,3,4,0,14,0
2021-07-23,0,159,0,0,1,0,12,0
2021-07-24,0,141,1,7,4,0,12,0
2021-07-25,0,151,0,1,1,0,11,0
2021-07-26,0,175,0,0,0,0,10,0
2021-07-27,0,176,0,20,1,0,8,2
2021-07-28,0,237,5,1,2,0,7,1
2021-07-29,0,172,0,2,0,0,3,6
2021-07-30,0,212,0,7,0,0,2,0
2021-07-31,0,238,2,9,0,0,4,0
2021-08-01,0,207,1,15,3,0,2,1
2021-08-02,0,202,0,16,1,0,5,0
2021-08-03,0,233,0,19,3,0,0,0
2021-08-04,0,268,0,27,0,1,6,0
2021-08-05,0,291,0,10,0,0,6,0
2021-08-06,0,308,1,13,0,0,30,1
2021-08-07,0,255,0,9,0,0,13,0
2021-08-08,0,284,0,5,2,0,11,0
2021-08-09,0,357,0,3,0,0,20,0
2021-08-10,0,344,0,3,0,0,20,0
2021-08-11,0,343,0,11,0,0,18,0
2021-08-12,5,384,0,8,0,0,19,0
2021-08-13,2,463,0,7,0,0,21,0
2021-08-14,2,411,0,1,0,0,25,0
2021-08-15,19,475,1,0,0,0,22,2
2021-08-16,17,438,0,2,0,0,25,0
2021-08-17,22,627,0,4,0,0,24,0
2021-08-18,16,674,0,0,0,0,56,1
2021-08-19,12,636,0,1,1,0,57,0
2021-08-20,7,820,0,2,0,0,61,1
2021-08-21,19,822,0,0,0,0,66,0
2021-08-22,16,805,0,2,0,0,71,0
2021-08-23,30,745,0,6,1,0,51,1
2021-08-24,9,921,0,0,0,0,41,0
2021-08-25,14,1005,0,0,0,0,76,20
2021-08-26,21,875,1,1,0,0,78,0
2021-08-27,26,1026,0,4,0,0,63,0
2021-08-28,13,1213,1,0,1,0,91,2
2021-08-29,12,1272,0,2,0,0,70,0
2021-08-30,12,1169,1,0,0,0,75,0
2021-08-31,23,1085,0,1,0,0,116,0
2021-09-01,12,1279,0,2,0,0,174,0
2021-09-02,18,1417,0,0,4,0,209,0
2021-09-03,32,1516,0,2,2,0,189,0
2021-09-04,15,1469,0,1,2,0,183,0
2021-09-05,11,1272,0,6,1,0,246,0
2021-09-06,19,1203,1,0,1,0,241,1
2021-09-07,20,1457,0,0,7,0,212,0
2021-09-08,15,1384,0,1,1,0,323,1
2021-09-09,24,1508,0,3,2,0,333,0
2021-09-10,15,1603,0,7,0,0,450,0
2021-09-11,15,1217,0,1,1,0,381,1
2021-09-12,13,1238,0,4,2,0,463,0
2021-09-13,22,1108,0,2,1,0,445,0
2021-09-14,13,1225,0,1,1,0,403,0
2021-09-15,15,1334,1,3,0,0,503,0
2021-09-16,30,1270,0,1,2,0,497,0
2021-09-17,15,1308,0,1,0,0,529,3
2021-09-18,17,1067,0,0,0,0,488,0
2021-09-19,7,936,2,2,0,0,552,1
2021-09-20,16,976,0,1,0,0,588,1
2021-09-21,17,1021,0,1,0,0,620,0
2021-09-22,16,1043,2,2,1,0,745,0
2021-09-23,19,1026,0,0,1,0,718,0
2021-09-24,32,995,0,1,0,0,836,1
2021-09-25,25,948,0,0,0,0,779,0
2021-09-26,19,778,1,0,1,0,673,0
2021-09-27,13,852,0,6,0,0,1008,1
2021-09-28,22,859,1,1,0,0,929,0
2021-09-29,31,933,1,6,0,0,1429,0
2021-09-30,52,859,0,4,0,0,1143,0
2021-10-01,52,802,1,3,1,0,1476,0
2021-10-02,38,654,0,1,2,1,1176,0
2021-10-03,28,611,0,3,1,0,1377,3
2021-10-04,33,597,0,2,1,0,1746,10
2021-10-05,28,580,0,3,1,0,1413,1
2021-10-06,41,568,0,5,0,0,1602,0
2021-10-07,40,645,1,0,0,0,1838,0
2021-10-08,25,577,1,3,1,0,1908,0
2021-10-09,30,466,0,3,1,0,1890,0
2021-10-10,32,493,1,1,1,0,1568,0
2021-10-11,28,347,0,4,3,0,1466,0
2021-10-12,51,441,1,0,1,0,1534,1
2021-10-13,46,398,6,0,0,1,2293,0
2021-10-14,35,390,0,1,0,0,2106,0
2021-10-15,20,318,2,3,0,0,1967,1
2021-10-16,33,300,1,0,1,0,1838,0
2021-10-17,17,259,0,0,0,0,1783,0
2021-10-18,24,265,0,0,0,0,1749,0
2021-10-19,24,279,0,1,1,0,1792,0
2021-10-20,28,358,0,5,0,0,2153,0
2021-10-21,13,339,0,5,1,0,2189,0
2021-10-22,24,313,0,0,0,0,1546,0
2021-10-23,9,288,0,0,0,0,1877,0
2021-10-24,9,285,0,0,1,0,1389,0
2021-10-25,12,272,0,3,0,0,1499,0
2021-10-26,10,305,0,1,0,0,1534,0
2021-10-27,8,272,0,1,0,0,1757,0
2021-10-28,10,253,0,2,0,0,1621,0
2021-10-29,9,225,0,0,0,0,1355,0
2021-10-30,7,166,0,0,0,0,1012,0
2021-10-31,5,129,0,1,0,0,1331,0
2021-11-01,8,171,0,0,0,0,956,0
2021-11-02,15,188,0,0,0,0,909,0
2021-11-03,13,307,1,3,0,0,1213,0
2021-11-04,6,241,1,2,0,0,1330,0
2021-11-05,18,266,1,1,0,0,1248,0
2021-11-06,13,244,1,3,0,0,1126,0
2021-11-07,13,164,0,0,0,0,1087,0
2021-11-08,18,219,1,1,0,0,1053,0
2021-11-09,9,210,0,3,0,0,979,0
2021-11-10,9,254,1,3,0,0,1289,0
2021-11-11,15,280,0,4,0,0,1115,0
2021-11-12,11,249,0,0,1,0,1194,0
2021-11-13,15,193,1,0,1,0,905,0
2021-11-14,10,163,0,3,0,1,819,0
2021-11-15,12,210,12,1,0,0,778,1
2021-11-16,6,228,7,0,1,0,983,3
2021-11-17,25,260,0,1,0,0,986,0
2021-11-18,17,214,8,1,0,0,1264,1
2021-11-19,14,178,0,0,1,0,1167,1
2021-11-20,15,175,10,0,0,0,1264,1
2021-11-21,11,176,3,0,0,0,1016,1
