time_value,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-07-03,57,7,0,0,0,0,0,0,163,0,90,1,0
2020-07-04,0,0,0,0,0,0,0,0,133,3,92,0,0
2020-07-05,0,0,0,0,0,0,0,0,98,2,57,0,0
2020-07-06,130,31,0,0,0,0,1,0,113,0,68,9,0
2020-07-07,47,12,0,0,0,0,0,0,146,0,107,1,0
2020-07-08,46,18,0,0,0,0,1,0,154,0,100,2,0
2020-07-09,37,20,0,1,0,0,0,0,140,1,130,5,0
2020-07-10,77,25,0,0,1,0,0,0,131,0,112,2,0
2020-07-11,0,0,0,0,0,0,0,0,139,0,101,0,0
2020-07-12,0,0,0,0,0,0,0,0,138,1,75,0,0
2020-07-13,230,0,0,0,0,0,0,0,118,1,137,56,0
2020-07-14,86,75,5,1,0,0,0,0,123,1,130,5,0
2020-07-15,82,21,0,1,0,0,1,0,149,0,147,5,0
2020-07-16,120,21,1,0,0,0,0,0,160,0,138,42,0
2020-07-17,105,28,5,0,0,0,0,0,180,0,196,13,2
2020-07-18,0,0,1,0,0,0,0,0,190,0,188,5,0
2020-07-19,0,0,6,1,0,0,0,0,116,0,128,2,0
2020-07-20,368,102,11,1,0,0,0,0,163,0,131,19,0
2020-07-21,141,28,12,0,1,0,0,0,120,0,150,8,0
2020-07-22,0,0,8,0,1,0,0,0,139,0,174,60,0
2020-07-23,247,64,1,0,0,0,0,0,190,0,192,42,0
2020-07-24,111,0,9,0,1,0,0,0,128,0,160,27,1
2020-07-25,0,27,4,0,0,0,0,0,106,0,162,37,0
2020-07-26,0,0,6,0,1,0,0,0,111,0,147,42,0
2020-07-27,304,81,6,0,0,0,0,0,120,0,89,31,0
2020-07-28,80,23,5,0,0,0,0,0,130,0,130,9,0
2020-07-29,133,39,2,0,0,0,0,0,100,0,177,50,0
2020-07-30,113,29,2,0,0,0,0,0,111,0,153,38,0
2020-07-31,127,50,6,0,0,0,2,0,120,0,134,13,0
2020-08-01,0,0,2,0,0,0,0,0,107,0,130,15,0
2020-08-02,0,0,18,0,0,0,2,0,64,0,92,8,0
2020-08-03,0,0,7,0,0,0,0,0,99,0,144,17,0
2020-08-04,303,146,1,0,0,0,0,0,80,0,150,9,0
2020-08-05,94,47,1,4,0,0,0,0,79,0,125,8,0
2020-08-06,56,47,30,2,0,0,0,0,95,0,92,11,0
2020-08-07,134,53,17,0,1,0,0,0,86,0,128,22,1
2020-08-08,0,0,16,0,0,0,0,0,85,0,114,24,0
2020-08-09,0,0,35,0,0,0,0,0,79,0,97,12,0
2020-08-10,257,131,16,0,1,0,0,0,73,0,100,5,0
2020-08-11,85,46,4,1,0,0,0,0,97,0,100,29,0
2020-08-12,121,0,16,1,0,0,0,0,95,5,90,5,0
2020-08-13,76,163,25,2,0,0,0,0,103,0,98,27,0
2020-08-14,84,84,40,0,0,0,1,0,98,0,75,30,0
2020-08-15,0,0,20,4,0,0,2,0,93,0,66,25,0
2020-08-16,0,0,34,2,0,0,0,0,81,0,44,14,0
2020-08-17,0,0,34,0,0,0,1,0,118,0,50,1,0
2020-08-18,366,319,17,0,0,0,0,0,116,3,81,1,0
2020-08-19,82,68,15,0,0,0,1,0,112,0,73,4,0
2020-08-20,0,0,33,0,0,0,1,0,103,0,105,4,0
2020-08-21,247,170,34,2,0,0,0,0,141,0,106,5,0
2020-08-22,0,0,42,0,0,0,1,0,86,0,72,2,0
2020-08-23,0,0,72,1,0,0,2,0,109,0,76,3,0
2020-08-24,258,269,49,0,0,0,0,0,120,0,44,1,0
2020-08-25,77,58,25,1,0,0,0,0,112,0,98,0,0
2020-08-26,127,62,25,0,0,0,1,0,140,0,126,3,0
2020-08-27,108,68,21,0,0,0,0,0,151,0,122,5,0
2020-08-28,158,124,32,1,1,0,2,0,133,0,109,2,0
2020-08-29,0,0,59,0,0,0,0,0,124,0,140,4,0
2020-08-30,0,0,31,0,0,0,0,0,129,0,118,0,0
2020-08-31,426,294,28,0,0,0,2,0,149,0,130,4,0
2020-09-01,164,58,18,0,0,0,0,0,140,0,154,3,0
2020-09-02,114,104,12,1,0,0,0,0,150,0,184,2,0
2020-09-03,130,89,20,0,0,0,0,0,174,2,227,10,0
2020-09-04,164,121,9,0,0,0,0,0,155,0,185,4,0
2020-09-05,0,0,21,0,1,0,0,0,157,1,195,5,0
2020-09-06,0,0,29,0,0,0,0,0,200,0,194,8,0
2020-09-07,0,0,15,0,0,0,1,0,195,4,191,11,0
2020-09-08,619,429,11,0,0,0,0,0,218,2,192,7,0
2020-09-09,0,0,16,0,0,0,0,0,235,2,252,1,0
2020-09-10,211,239,13,1,0,0,0,0,252,0,260,6,0
2020-09-11,111,132,15,0,0,0,0,0,239,0,306,12,0
2020-09-12,0,0,17,0,1,0,0,0,305,0,295,21,0
2020-09-13,0,0,18,0,0,0,0,0,225,0,316,17,0
2020-09-14,418,317,21,1,0,0,0,0,290,0,277,5,0
2020-09-15,124,97,17,0,0,0,0,0,359,2,321,10,0
2020-09-16,171,122,23,0,0,0,0,0,375,0,303,10,0
2020-09-17,146,165,11,0,0,0,0,0,436,0,351,6,0
2020-09-18,107,179,40,0,1,0,0,0,448,0,487,19,0
2020-09-19,0,0,18,0,0,0,0,0,440,0,497,11,0
2020-09-20,0,0,28,0,0,0,0,0,383,0,503,20,0
2020-09-21,358,366,22,2,0,0,0,0,447,0,478,7,0
2020-09-22,150,96,24,0,0,0,1,0,410,0,522,10,0
2020-09-23,143,91,42,1,0,0,0,0,453,1,688,6,0
2020-09-24,158,0,37,2,0,0,0,0,502,0,726,5,0
2020-09-25,153,246,53,1,0,0,0,0,587,0,743,11,0
2020-09-26,0,0,65,0,0,0,0,0,638,0,913,17,0
2020-09-27,0,0,51,0,1,0,0,0,541,0,850,15,0
2020-09-28,406,267,39,0,0,0,0,0,568,0,909,14,0
2020-09-29,160,105,34,0,0,0,0,0,667,1,958,7,0
2020-09-30,153,125,40,0,1,0,1,0,670,0,1017,14,0
2020-10-01,173,82,36,0,1,0,0,0,621,0,957,14,0
2020-10-02,122,161,43,0,0,0,1,0,658,0,1169,13,0
2020-10-03,0,0,36,1,1,0,0,0,554,0,1155,14,0
2020-10-04,0,0,32,0,1,0,0,0,572,2,1049,5,0
2020-10-05,578,358,51,2,0,0,0,0,576,0,845,9,0
2020-10-06,276,102,55,2,0,0,0,0,707,0,1001,16,0
2020-10-07,143,115,32,17,0,0,0,0,815,0,976,10,0
2020-10-08,364,110,66,3,0,0,0,0,744,0,1097,18,0
2020-10-09,277,119,84,13,2,0,0,0,798,0,1140,22,0
2020-10-10,0,0,96,20,3,0,3,0,688,0,910,34,0
2020-10-11,0,0,54,14,0,0,0,0,723,2,1080,24,0
2020-10-12,0,0,77,6,1,0,0,0,597,0,796,48,0
2020-10-13,961,549,124,6,0,0,0,0,847,0,949,34,0
2020-10-14,243,158,146,8,0,0,0,0,862,0,1097,25,0
2020-10-15,244,142,173,0,1,0,0,0,751,2,1147,33,0
2020-10-16,332,155,75,5,3,0,1,0,699,0,1134,38,0
2020-10-17,0,0,0,0,0,0,2,0,690,0,1055,36,0
2020-10-18,0,0,129,13,0,0,2,0,791,0,974,24,0
2020-10-19,898,498,80,3,0,0,0,0,748,0,846,66,2
2020-10-20,323,167,109,0,0,0,0,0,796,1,1038,43,0
2020-10-21,406,203,135,6,0,3,0,0,868,0,981,57,0
2020-10-22,427,0,147,3,1,0,0,0,976,0,932,62,0
2020-10-23,432,497,162,2,0,1,0,0,942,0,1036,33,0
2020-10-24,0,0,153,2,1,0,3,0,936,0,838,78,3
2020-10-25,0,0,161,2,1,0,0,0,881,0,825,60,0
2020-10-26,1472,817,100,3,1,0,1,0,791,0,989,54,2
2020-10-27,422,217,183,3,0,0,1,0,895,0,970,58,0
2020-10-28,410,287,169,3,0,0,0,0,949,0,991,67,0
2020-10-29,477,234,193,4,0,1,0,0,900,0,1064,82,1
2020-10-30,622,272,480,1,0,0,2,0,1021,0,953,76,0
2020-10-31,0,0,349,1,0,0,5,0,906,0,983,78,0
2020-11-01,0,0,311,1,0,0,2,0,1105,0,1024,74,0
2020-11-02,0,1120,241,0,0,0,2,0,971,0,896,74,0
2020-11-03,2268,299,102,0,0,0,1,0,906,0,1064,81,0
2020-11-04,0,335,374,3,1,0,4,0,943,0,1164,35,0
2020-11-05,515,425,426,2,2,0,1,0,1270,0,1271,128,0
2020-11-06,1411,589,242,1,0,0,2,1,1278,2,1196,87,0
2020-11-07,919,567,270,3,2,0,4,0,1112,0,1238,115,0
2020-11-08,727,0,441,1,1,0,3,1,1316,0,1303,159,0
2020-11-09,656,998,365,1,0,0,1,0,1473,0,1207,190,0
2020-11-10,713,525,383,0,0,0,3,0,1584,1,1305,127,0
2020-11-11,672,0,430,0,1,1,2,1,1510,1,1390,112,0
2020-11-12,860,1130,474,1,0,0,0,0,1582,0,1332,111,1
2020-11-13,907,617,434,2,1,4,2,1,1445,0,1375,76,0
2020-11-14,1026,0,237,6,2,0,6,4,1458,0,1239,307,0
2020-11-15,991,0,494,3,2,0,2,10,1309,0,1113,181,0
2020-11-16,860,1959,392,8,0,0,2,6,1385,0,1025,181,0
2020-11-17,773,717,269,4,2,0,5,34,1253,0,1126,240,0
2020-11-18,730,760,399,9,2,0,3,10,1465,0,1204,131,1
2020-11-19,1105,538,475,4,1,0,1,4,1479,0,1308,98,2
2020-11-20,1155,514,437,9,3,0,5,10,1638,0,1147,153,2
2020-11-21,1336,0,385,23,5,0,8,25,1498,0,1116,433,0
2020-11-22,1584,0,240,6,3,0,11,21,1323,0,1207,236,3
2020-11-23,1549,1933,543,15,2,0,11,6,1394,1,1077,235,6
2020-11-24,1115,941,471,5,2,0,37,10,1430,0,1231,175,0
2020-11-25,1265,738,349,3,1,0,16,11,1714,0,1383,164,1
2020-11-26,1077,887,381,12,3,0,14,0,1834,1,1335,315,3
2020-11-27,1227,911,344,12,4,0,9,4,1753,0,1273,329,3
2020-11-28,1731,0,486,4,2,0,14,5,1712,2,1431,197,0
2020-11-29,1608,0,365,14,4,0,10,13,1706,0,1382,351,0
2020-11-30,1733,2354,342,6,1,0,15,4,1626,0,1266,325,2
2020-12-01,1307,656,282,7,1,0,10,1,1838,0,1517,181,0
2020-12-02,1685,834,277,6,1,0,17,11,1752,0,1545,237,3
2020-12-03,1854,694,367,6,0,0,11,5,1827,0,1503,261,1
2020-12-04,1828,710,318,8,3,0,15,8,1880,1,1766,283,3
2020-12-05,1879,0,354,2,4,0,6,8,2084,0,1643,203,0
2020-12-06,1836,0,383,4,4,0,4,2,1746,7,1536,409,0
2020-12-07,1735,2020,325,2,0,0,8,3,1816,4,1626,273,3
2020-12-08,1727,566,245,5,1,0,7,1,1864,0,1659,185,1
2020-12-09,1460,619,279,1,1,0,6,9,1941,0,1746,302,0
2020-12-10,1566,723,292,4,1,0,4,0,1890,0,1760,324,0
2020-12-11,1738,737,445,8,1,5,9,16,1897,0,1911,251,0
2020-12-12,1590,0,358,1,3,1,7,2,1947,0,1992,274,0
2020-12-13,1717,0,273,2,0,0,6,0,2010,0,1762,222,0
2020-12-14,1887,2146,241,1,1,0,5,9,2094,5,1888,267,1
2020-12-15,1341,520,271,1,0,1,6,2,2227,0,1788,194,0
2020-12-16,1270,640,291,8,5,0,4,0,2320,0,2118,162,0
2020-12-17,1571,673,221,6,3,1,6,1,2348,1,2316,238,0
2020-12-18,1413,624,350,0,5,1,6,0,2432,0,2118,245,0
2020-12-19,1352,0,233,5,8,0,1,0,2266,0,2056,252,0
2020-12-20,1286,0,229,0,2,0,2,0,2363,0,1965,226,0
2020-12-21,1240,1667,166,4,0,0,2,3,2233,0,2107,206,0
2020-12-22,1021,443,155,2,1,0,7,0,2558,1,2154,182,0
2020-12-23,1301,517,201,5,1,0,4,2,2276,0,2223,159,0
2020-12-24,1007,582,243,2,0,0,7,1,1956,3,2397,154,1
2020-12-25,1191,0,0,1,0,0,0,0,2205,0,2298,229,0
2020-12-26,914,0,0,2,0,0,0,0,2242,0,2087,132,0
2020-12-27,459,0,521,2,3,0,0,0,2203,0,2158,198,0
2020-12-28,917,0,107,1,2,0,13,1,2828,0,2307,94,0
2020-12-29,872,2206,133,2,1,0,2,0,3216,0,2859,114,0
2020-12-30,1287,485,128,1,0,0,3,0,2870,0,2802,138,0
2020-12-31,0,690,187,3,0,0,3,0,3390,0,2532,190,0
2021-01-01,0,0,0,2,0,0,11,0,3306,0,2729,285,0
2021-01-02,0,0,326,10,0,0,2,0,2859,0,2407,210,0
2021-01-03,3800,0,100,7,0,0,2,0,3315,0,2165,236,0
2021-01-04,1307,2211,118,17,1,0,4,0,3210,2,2555,287,5
2021-01-05,843,428,130,27,1,0,3,0,3356,1,2586,153,0
2021-01-06,1123,625,167,31,0,0,12,0,3801,0,2867,284,1
2021-01-07,968,761,201,24,0,0,3,0,4098,5,2833,335,3
2021-01-08,1183,617,221,18,0,0,2,0,3766,0,2746,336,1
2021-01-09,989,0,203,30,0,0,3,0,3325,0,2008,332,0
2021-01-10,811,0,150,14,1,0,0,0,3088,0,2033,307,0
2021-01-11,639,1475,134,21,0,0,5,0,2941,0,1793,412,0
2021-01-12,652,446,90,17,0,0,1,0,3164,1,2184,248,0
2021-01-13,875,519,155,19,0,0,8,0,3254,0,2014,247,0
2021-01-14,967,536,259,23,1,0,6,0,2968,0,1947,312,0
2021-01-15,785,509,191,25,1,1,2,0,3171,0,1882,382,0
2021-01-16,717,0,177,27,0,0,4,0,2680,0,1926,270,0
2021-01-17,750,0,189,36,1,3,3,0,2102,0,1513,287,0
2021-01-18,474,1330,118,26,0,0,0,0,2464,5,1338,290,0
2021-01-19,456,465,111,31,0,2,4,0,2419,2,1517,309,0
2021-01-20,669,500,153,21,0,0,3,0,2674,0,1573,241,0
2021-01-21,678,564,196,32,1,1,1,0,2348,0,1796,226,0
2021-01-22,643,508,171,30,1,0,5,1,2470,0,1534,305,0
2021-01-23,573,0,216,17,0,0,0,0,1892,0,1330,274,0
2021-01-24,463,0,221,20,0,0,1,13,1797,0,1165,260,0
2021-01-25,742,1344,113,27,0,0,0,2,1667,0,1218,239,0
2021-01-26,366,406,92,10,0,0,1,0,1908,0,1351,230,0
2021-01-27,459,485,94,14,2,0,4,0,1972,0,1273,148,0
2021-01-28,461,546,132,27,4,0,0,1,1942,0,1287,244,0
2021-01-29,543,514,152,16,4,0,1,0,1848,1,1281,328,0
2021-01-30,383,0,166,12,0,0,3,1,1645,0,1233,260,0
2021-01-31,461,0,118,26,0,0,0,10,1472,0,878,238,0
2021-02-01,355,1158,87,8,0,0,1,0,1279,0,976,147,0
2021-02-02,268,429,82,24,0,1,1,0,1433,0,1167,225,0
2021-02-03,259,414,125,14,2,0,1,0,1509,1,1082,194,0
2021-02-04,582,465,110,16,1,0,1,2,1422,0,1080,250,0
2021-02-05,396,471,110,7,1,0,0,0,1494,0,1219,266,0
2021-02-06,348,0,80,12,3,0,0,3,1216,0,1046,263,0
2021-02-07,351,0,79,7,1,0,1,0,1108,0,837,194,0
2021-02-08,269,1236,52,2,11,0,1,0,987,0,777,171,0
2021-02-09,195,435,71,15,30,1,1,0,1149,2,969,80,0
2021-02-10,339,469,57,14,53,1,1,1,1323,0,1162,189,0
2021-02-11,351,449,90,2,100,4,2,3,1246,0,1015,114,0
2021-02-12,314,445,81,5,50,0,0,0,1205,0,1021,188,1
2021-02-13,305,0,99,16,26,0,2,5,991,0,833,244,0
2021-02-14,284,0,79,2,11,0,1,3,946,0,723,161,0
2021-02-15,251,0,0,1,7,0,1,0,893,0,671,143,1
2021-02-16,263,1533,166,3,7,0,3,12,1008,0,847,136,0
2021-02-17,277,427,75,3,44,4,3,1,1121,0,782,124,0
2021-02-18,415,617,138,4,48,0,2,6,1214,0,860,146,0
2021-02-19,325,508,90,6,60,0,2,2,1228,0,778,146,0
2021-02-20,380,0,94,3,38,0,4,6,1137,0,718,193,0
2021-02-21,328,0,57,4,25,0,1,1,994,0,816,182,0
2021-02-22,273,1428,97,0,13,0,1,12,937,0,636,177,0
2021-02-23,267,559,68,0,15,0,3,0,1153,1,831,126,0
2021-02-24,430,456,39,2,8,0,3,0,1209,0,855,57,0
2021-02-25,399,395,67,1,10,0,8,4,1246,0,812,211,0
2021-02-26,356,521,64,1,4,0,10,1,1130,5,870,153,0
2021-02-27,415,0,88,2,4,0,4,0,1119,0,708,162,0
2021-02-28,301,0,50,0,7,0,3,1,1047,12,575,141,0
2021-03-01,291,1478,35,1,2,0,1,1,964,0,585,154,0
2021-03-02,257,695,56,4,5,0,1,1,1131,4,763,137,0
2021-03-03,402,542,50,3,3,0,3,0,1143,0,685,121,0
2021-03-04,331,564,51,5,5,0,3,10,1250,0,859,161,0
2021-03-05,411,634,53,4,1,0,2,4,1292,0,704,210,0
2021-03-06,341,0,66,6,2,0,6,4,1323,0,743,163,0
2021-03-07,300,0,55,2,1,0,2,4,1278,0,611,116,0
2021-03-08,282,1462,63,5,3,0,0,0,1237,5,613,96,0
2021-03-09,255,550,62,0,1,0,5,0,1247,2,796,113,0
2021-03-10,399,531,71,0,0,0,1,0,1380,0,718,110,0
2021-03-11,364,569,88,2,1,0,0,0,1493,0,756,165,0
2021-03-12,425,648,98,3,1,0,0,0,1608,0,812,176,0
2021-03-13,474,0,92,0,0,0,4,2,1431,0,660,153,0
2021-03-14,388,0,44,5,0,0,1,0,1263,0,607,95,0
2021-03-15,364,1506,50,1,0,0,0,0,1281,0,573,110,0
2021-03-16,355,556,110,5,1,0,2,0,1572,0,721,156,0
2021-03-17,479,498,93,1,0,0,2,0,1740,1,729,87,0
2021-03-18,505,622,89,7,1,0,3,12,1811,0,762,115,0
2021-03-19,696,737,91,2,0,0,3,0,1838,0,806,174,0
2021-03-20,556,0,87,3,0,0,2,0,1790,0,681,200,0
2021-03-21,555,0,90,1,0,0,6,0,1612,0,665,178,0
2021-03-22,456,1785,65,8,0,0,2,0,1859,0,708,204,0
2021-03-23,465,682,93,7,0,0,1,0,1873,8,765,150,0
2021-03-24,692,716,80,12,1,0,5,0,2274,0,1030,187,0
2021-03-25,764,800,105,29,0,0,3,0,2290,0,1007,168,1
2021-03-26,717,908,114,13,0,0,5,0,2632,0,1009,213,0
2021-03-27,668,0,57,12,0,0,5,0,2221,4,931,224,0
2021-03-28,644,0,55,6,1,0,2,0,2248,0,824,248,0
2021-03-29,545,2518,53,11,0,0,0,0,2336,0,942,204,0
2021-03-30,576,840,77,13,2,0,3,0,2559,3,997,164,0
2021-03-31,871,1013,70,12,1,0,2,0,2932,0,1425,191,1
2021-04-01,875,832,52,10,1,0,3,0,3096,0,1286,199,0
2021-04-02,0,0,0,9,0,0,9,0,3059,0,1288,254,0
2021-04-03,1100,0,178,9,0,0,4,0,3101,0,1290,280,0
2021-04-04,0,0,0,11,0,0,7,0,3006,0,1136,221,0
2021-04-05,2887,0,135,10,0,1,2,0,3043,0,1219,219,0
2021-04-06,931,5108,62,3,0,0,6,0,3540,1,1309,219,0
2021-04-07,1351,997,107,14,1,0,2,0,3853,0,1642,189,0
2021-04-08,1429,1293,137,7,1,0,5,0,4064,0,1720,219,0
2021-04-09,1521,1262,176,8,3,0,2,0,3997,0,1867,357,0
2021-04-10,1293,0,135,19,4,0,7,0,4638,0,1632,237,0
2021-04-11,1183,0,109,9,0,0,5,0,4064,0,1495,320,0
2021-04-12,1136,3289,114,10,1,0,7,0,4092,0,1422,300,0
2021-04-13,1081,873,132,4,1,0,6,0,4272,5,1533,288,1
2021-04-14,1412,1168,80,16,3,0,2,0,4966,0,1517,199,1
2021-04-15,1646,1205,149,8,2,0,3,1,4757,0,1682,303,0
2021-04-16,1616,1005,127,7,3,0,6,12,3806,0,1456,230,0
2021-04-17,1486,0,177,11,3,0,8,6,4598,0,1292,247,0
2021-04-18,1516,0,167,10,1,0,7,3,4175,0,1025,287,0
2021-04-19,1391,2960,108,9,3,0,15,6,3671,8,1188,244,1
2021-04-20,1345,849,203,0,2,0,9,5,4015,1,1224,250,0
2021-04-21,1699,862,162,7,1,2,25,1,4025,0,1200,231,1
2021-04-22,1857,1006,258,19,3,1,38,3,4488,0,1094,264,2
2021-04-23,1690,1001,179,16,1,2,44,9,4115,1,918,250,0
2021-04-24,1592,0,270,8,3,0,52,7,3767,0,1199,286,0
2021-04-25,1437,0,259,4,2,0,63,7,3689,0,891,249,0
2021-04-26,1495,2491,210,7,4,3,66,9,3146,0,969,245,1
2021-04-27,1539,799,217,24,0,0,96,8,3511,2,1083,224,0
2021-04-28,1839,841,186,8,4,0,75,6,4027,0,1070,213,0
2021-04-29,2048,853,228,10,2,0,70,12,3810,0,1115,210,0
2021-04-30,2007,740,290,15,8,0,67,11,3381,0,1173,274,0
2021-05-01,2433,0,266,18,5,0,148,8,3706,0,920,262,0
2021-05-02,1731,0,279,6,18,1,133,11,2945,0,777,238,0
2021-05-03,2012,2174,250,15,5,7,146,8,2628,0,850,219,1
2021-05-04,1743,697,290,4,4,12,153,7,2891,6,905,189,0
2021-05-05,2271,572,271,11,6,14,175,5,3286,0,894,214,0
2021-05-06,2211,694,357,11,6,13,182,12,3377,0,1040,180,0
2021-05-07,1980,722,498,8,7,1,227,1,3000,0,1007,295,0
2021-05-08,2042,0,485,8,6,0,163,7,2685,0,814,269,0
2021-05-09,1633,0,528,6,5,0,163,5,2307,0,711,177,0
